file_number,annotator_1_seconds,annotator_2_seconds,annotator_3_seconds,reviewer_seconds
W00KG03891-I00KG039650006.tif,918,252,2341,2469
W00KG03990-I00KG040250007.jpg,4338,1199,1347,1013
W00KG03994-I00KG040410006.jpg,6329,491,6664,879
W00KG09218-I00KG093680607.tif,27,473,907,431
W10311-35620429.tif,577,25,886,1173
W16488-I1KG34500006.tif,2011,12821,1547,210
W1CZ1101-I1CZ15101333.tif,1128,9042,5692,410
W1CZ1151-I1CZ15660006.tif,1777,9358,5172,827
W1CZ1226-I1CZ16930108.tif,1233,3755,1971,267
W1CZ1228-I1CZ16950006.tif,2596,1043,2017,1110
W1CZ1237-I1CZ17150019.tif,1071,217,812,165
W1CZ1245-I1CZ20890006.tif,15593,7663,610,484
W1CZ1255-I1CZ21050006.tif,1247,1627,1025,314
W1CZ1263-I1CZ17450008.tif,15194,1800,2665,1245
W1CZ1263-I1CZ17450011.tif,3317,1118,1533,13108
W1CZ1265-I1CZ17490006.tif,1112,36580,796,24502
W1CZ1265-I1CZ17490019.tif,711,179,1484,1099
W1CZ1288-I1CZ17970008.tif,932,2297,1871,277
W1CZ1292-I1CZ18050006.tif,893,583,1067,293
W1CZ1306-I1CZ18330025.tif,399,912,1647,412
W1CZ1849-I1CZ18930137.tif,1148,614,4465,520
W1CZ1880-I1CZ19650181.tif,61223,294,1972,667
W1CZ2045-I1CZ21670013.tif,23,14386,6160,1108
W1ER119-I1ER7950246.jpg,1466,193234,2729,17263
W1ER15-I1ER2260040.jpg,157,82,96,46
W1KG10034-I1KG100360147.jpg,1059,2335,14341,4809
W1KG10446-I1KG104480551.jpg,822,4216,1634,463
W1KG11959-I1KG119610006.tif,693,484,1220,343
W1KG12097-I1KG122700133.jpg,1895,30919,62584,19699
W1KG12097-I1KG122700260.jpg,4251,4096,45869,1339
W1KG12172-I1KG121860454.jpg,938,284,1020,6440
W1KG12532-I1KG125580603.jpg,185,179,502,110
W1KG12631-I1KG126470452.jpg,1077,1052,1511,248
W1KG13682-I1KG851070817.jpg,768,1633,46858,84303
W1KG15057-I1KG150640761.jpg,20808,4852,44177,1220
W1KG17148-I1KG181080006.jpg,7311,2947,1718,764
W1KG18315-I1KG183890937.jpg,205,1415,275,65622
W1KG18558-I1KG185920059.tif,1804,161184,1699,34427
W1KG22489-I1KG225420006.jpg,991,490,303,117
W1KG22564-I1KG226530141.jpg,967,12994,14363,59962
W1KG22581-I1KG226730006.jpg,1274,1103,969,1001
W1KG22603-I1KG226790007.jpg,876,4707,17625,1538
W1KG22605-I1KG227060333.jpg,64069,7095,5901,158
W1KG23025-I1KG230990399.jpg,7395,1112,1121,57940
W1KG23049-I1KG231800006.jpg,591,52049,633,239
W1KG23088-I1KG231880006.jpg,5650,6097,667,10806
